IRI,label,type,type,type,type,type,type,type,hasMedium,hasHeightInMm,hasWidthIMm,hasDepthInMm,hasDiameterInMm,hasCurrentCollection,hasFormatFigure,hasColourPalette,hasMarkMakingStyle,hasFinishedState,hasConditionState,portraitObjectIn,relatesToRecord,plays,plays,plays,plays,plays,hasImageCreditLine,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,recordHasRelatedArtObject,seeAlso,seeAlso,sameAs
FAILSAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
