IRI,label,type,type,type,type,type,type,type,hasValue,hasUnit,hasPSEValue,hasYearOfBirth,hasYearOfDeath,hasMember,hasMember,hasMember,hasMember,hasMember,hasRelatedAgent,situatedIn,situatedIn,situatedIn,situatedIn,isNear,isNear,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,plays,seeAlso,seeAlso,sameAs,sameAs
FAILSAFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
